data_id,node_id,kwh,location,timestamp,hour,day_of_week,month,pattern_type,anomaly
data_00000000,node_000000,0.1,"lat:29.5299,lon:-95.0288",1754748028,10,5,8,residential,True
data_00000001,node_000000,0.495,"lat:29.5299,lon:-95.0288",1754751628,11,5,8,residential,False
data_00000002,node_000000,0.638,"lat:29.5299,lon:-95.0288",1754755228,12,5,8,residential,False
data_00000003,node_000000,0.544,"lat:29.5299,lon:-95.0288",1754758828,13,5,8,residential,False
data_00000004,node_000000,0.507,"lat:29.5299,lon:-95.0288",1754762428,14,5,8,residential,False
data_00000005,node_000000,0.809,"lat:29.5299,lon:-95.0288",1754766028,15,5,8,residential,False
data_00000006,node_000000,0.512,"lat:29.5299,lon:-95.0288",1754769628,16,5,8,residential,False
data_00000007,node_000000,0.733,"lat:29.5299,lon:-95.0288",1754773228,17,5,8,residential,False
data_00000008,node_000000,4.502,"lat:29.5299,lon:-95.0288",1754776828,18,5,8,residential,False
data_00000009,node_000000,3.715,"lat:29.5299,lon:-95.0288",1754780428,19,5,8,residential,False
data_00000010,node_000000,5.48,"lat:29.5299,lon:-95.0288",1754784028,20,5,8,residential,False
data_00000011,node_000000,4.812,"lat:29.5299,lon:-95.0288",1754787628,21,5,8,residential,False
data_00000012,node_000000,0.822,"lat:29.5299,lon:-95.0288",1754791228,22,5,8,residential,False
data_00000013,node_000000,0.593,"lat:29.5299,lon:-95.0288",1754794828,23,5,8,residential,False
data_00000014,node_000000,0.152,"lat:29.5299,lon:-95.0288",1754798428,0,6,8,residential,True
data_00000015,node_000000,0.689,"lat:29.5299,lon:-95.0288",1754802028,1,6,8,residential,False
data_00000016,node_000000,0.595,"lat:29.5299,lon:-95.0288",1754805628,2,6,8,residential,False
data_00000017,node_000000,0.647,"lat:29.5299,lon:-95.0288",1754809228,3,6,8,residential,False
data_00000018,node_000000,0.729,"lat:29.5299,lon:-95.0288",1754812828,4,6,8,residential,False
data_00000019,node_000000,0.49,"lat:29.5299,lon:-95.0288",1754816428,5,6,8,residential,False
data_00000020,node_000000,0.603,"lat:29.5299,lon:-95.0288",1754820028,6,6,8,residential,False
data_00000021,node_000000,0.782,"lat:29.5299,lon:-95.0288",1754823628,7,6,8,residential,False
data_00000022,node_000000,0.71,"lat:29.5299,lon:-95.0288",1754827228,8,6,8,residential,False
data_00000023,node_000000,0.633,"lat:29.5299,lon:-95.0288",1754830828,9,6,8,residential,False
data_00000024,node_000000,0.55,"lat:29.5299,lon:-95.0288",1754834428,10,6,8,residential,False
data_00000025,node_000000,0.693,"lat:29.5299,lon:-95.0288",1754838028,11,6,8,residential,False
data_00000026,node_000000,0.528,"lat:29.5299,lon:-95.0288",1754841628,12,6,8,residential,False
data_00000027,node_000000,0.572,"lat:29.5299,lon:-95.0288",1754845228,13,6,8,residential,False
data_00000028,node_000000,0.659,"lat:29.5299,lon:-95.0288",1754848828,14,6,8,residential,False
data_00000029,node_000000,0.628,"lat:29.5299,lon:-95.0288",1754852428,15,6,8,residential,False
data_00000030,node_000000,0.858,"lat:29.5299,lon:-95.0288",1754856028,16,6,8,residential,False
data_00000031,node_000000,0.639,"lat:29.5299,lon:-95.0288",1754859628,17,6,8,residential,False
data_00000032,node_000000,4.604,"lat:29.5299,lon:-95.0288",1754863228,18,6,8,residential,False
data_00000033,node_000000,4.124,"lat:29.5299,lon:-95.0288",1754866828,19,6,8,residential,False
data_00000034,node_000000,4.834,"lat:29.5299,lon:-95.0288",1754870428,20,6,8,residential,False
data_00000035,node_000000,4.732,"lat:29.5299,lon:-95.0288",1754874028,21,6,8,residential,False
data_00000036,node_000000,0.806,"lat:29.5299,lon:-95.0288",1754877628,22,6,8,residential,False
data_00000037,node_000000,0.628,"lat:29.5299,lon:-95.0288",1754881228,23,6,8,residential,False
data_00000038,node_000000,0.599,"lat:29.5299,lon:-95.0288",1754884828,0,0,8,residential,False
data_00000039,node_000000,0.545,"lat:29.5299,lon:-95.0288",1754888428,1,0,8,residential,False
data_00000040,node_000000,1.501,"lat:29.5299,lon:-95.0288",1754892028,2,0,8,residential,True
data_00000041,node_000000,0.596,"lat:29.5299,lon:-95.0288",1754895628,3,0,8,residential,False
data_00000042,node_000000,0.481,"lat:29.5299,lon:-95.0288",1754899228,4,0,8,residential,False
data_00000043,node_000000,0.596,"lat:29.5299,lon:-95.0288",1754902828,5,0,8,residential,False
data_00000044,node_000000,0.534,"lat:29.5299,lon:-95.0288",1754906428,6,0,8,residential,False
data_00000045,node_000000,0.658,"lat:29.5299,lon:-95.0288",1754910028,7,0,8,residential,False
data_00000046,node_000000,0.486,"lat:29.5299,lon:-95.0288",1754913628,8,0,8,residential,False
data_00000047,node_000000,0.449,"lat:29.5299,lon:-95.0288",1754917228,9,0,8,residential,False
data_00000048,node_000000,0.549,"lat:29.5299,lon:-95.0288",1754920828,10,0,8,residential,False
data_00000049,node_000000,0.642,"lat:29.5299,lon:-95.0288",1754924428,11,0,8,residential,False
data_00000050,node_000000,0.609,"lat:29.5299,lon:-95.0288",1754928028,12,0,8,residential,False
data_00000051,node_000000,0.56,"lat:29.5299,lon:-95.0288",1754931628,13,0,8,residential,False
data_00000052,node_000000,0.503,"lat:29.5299,lon:-95.0288",1754935228,14,0,8,residential,False
data_00000053,node_000000,0.513,"lat:29.5299,lon:-95.0288",1754938828,15,0,8,residential,False
data_00000054,node_000000,0.631,"lat:29.5299,lon:-95.0288",1754942428,16,0,8,residential,False
data_00000055,node_000000,0.507,"lat:29.5299,lon:-95.0288",1754946028,17,0,8,residential,False
data_00000056,node_000000,3.634,"lat:29.5299,lon:-95.0288",1754949628,18,0,8,residential,False
data_00000057,node_000000,3.884,"lat:29.5299,lon:-95.0288",1754953228,19,0,8,residential,False
data_00000058,node_000000,3.537,"lat:29.5299,lon:-95.0288",1754956828,20,0,8,residential,False
data_00000059,node_000000,5.051,"lat:29.5299,lon:-95.0288",1754960428,21,0,8,residential,False
data_00000060,node_000000,0.569,"lat:29.5299,lon:-95.0288",1754964028,22,0,8,residential,False
data_00000061,node_000000,0.514,"lat:29.5299,lon:-95.0288",1754967628,23,0,8,residential,False
data_00000062,node_000000,0.507,"lat:29.5299,lon:-95.0288",1754971228,0,1,8,residential,False
data_00000063,node_000000,0.476,"lat:29.5299,lon:-95.0288",1754974828,1,1,8,residential,False
data_00000064,node_000000,0.426,"lat:29.5299,lon:-95.0288",1754978428,2,1,8,residential,False
data_00000065,node_000000,0.604,"lat:29.5299,lon:-95.0288",1754982028,3,1,8,residential,False
data_00000066,node_000000,0.667,"lat:29.5299,lon:-95.0288",1754985628,4,1,8,residential,False
data_00000067,node_000000,0.496,"lat:29.5299,lon:-95.0288",1754989228,5,1,8,residential,False
data_00000068,node_000000,0.431,"lat:29.5299,lon:-95.0288",1754992828,6,1,8,residential,False
data_00000069,node_000000,0.68,"lat:29.5299,lon:-95.0288",1754996428,7,1,8,residential,False
data_00000070,node_000000,0.629,"lat:29.5299,lon:-95.0288",1755000028,8,1,8,residential,False
data_00000071,node_000000,0.556,"lat:29.5299,lon:-95.0288",1755003628,9,1,8,residential,False
data_00000072,node_000000,0.519,"lat:29.5299,lon:-95.0288",1755007228,10,1,8,residential,False
data_00000073,node_000000,0.525,"lat:29.5299,lon:-95.0288",1755010828,11,1,8,residential,False
data_00000074,node_000000,0.579,"lat:29.5299,lon:-95.0288",1755014428,12,1,8,residential,False
data_00000075,node_000000,0.431,"lat:29.5299,lon:-95.0288",1755018028,13,1,8,residential,False
data_00000076,node_000000,0.506,"lat:29.5299,lon:-95.0288",1755021628,14,1,8,residential,False
data_00000077,node_000000,0.617,"lat:29.5299,lon:-95.0288",1755025228,15,1,8,residential,False
data_00000078,node_000000,0.454,"lat:29.5299,lon:-95.0288",1755028828,16,1,8,residential,False
data_00000079,node_000000,0.568,"lat:29.5299,lon:-95.0288",1755032428,17,1,8,residential,False
data_00000080,node_000000,3.56,"lat:29.5299,lon:-95.0288",1755036028,18,1,8,residential,False
data_00000081,node_000000,4.334,"lat:29.5299,lon:-95.0288",1755039628,19,1,8,residential,False
data_00000082,node_000000,3.721,"lat:29.5299,lon:-95.0288",1755043228,20,1,8,residential,False
data_00000083,node_000000,3.373,"lat:29.5299,lon:-95.0288",1755046828,21,1,8,residential,False
data_00000084,node_000000,0.604,"lat:29.5299,lon:-95.0288",1755050428,22,1,8,residential,False
data_00000085,node_000000,0.62,"lat:29.5299,lon:-95.0288",1755054028,23,1,8,residential,False
data_00000086,node_000000,0.729,"lat:29.5299,lon:-95.0288",1755057628,0,2,8,residential,False
data_00000087,node_000000,0.571,"lat:29.5299,lon:-95.0288",1755061228,1,2,8,residential,False
data_00000088,node_000000,0.533,"lat:29.5299,lon:-95.0288",1755064828,2,2,8,residential,False
data_00000089,node_000000,0.57,"lat:29.5299,lon:-95.0288",1755068428,3,2,8,residential,False
data_00000090,node_000000,0.915,"lat:29.5299,lon:-95.0288",1755072028,4,2,8,residential,False
data_00000091,node_000000,0.554,"lat:29.5299,lon:-95.0288",1755075628,5,2,8,residential,False
data_00000092,node_000000,0.561,"lat:29.5299,lon:-95.0288",1755079228,6,2,8,residential,False
data_00000093,node_000000,0.548,"lat:29.5299,lon:-95.0288",1755082828,7,2,8,residential,False
data_00000094,node_000000,0.355,"lat:29.5299,lon:-95.0288",1755086428,8,2,8,residential,False
data_00000095,node_000000,0.71,"lat:29.5299,lon:-95.0288",1755090028,9,2,8,residential,False
data_00000096,node_000000,0.468,"lat:29.5299,lon:-95.0288",1755093628,10,2,8,residential,False
data_00000097,node_000000,0.74,"lat:29.5299,lon:-95.0288",1755097228,11,2,8,residential,False
data_00000098,node_000000,0.625,"lat:29.5299,lon:-95.0288",1755100828,12,2,8,residential,False
data_00000099,node_000000,0.626,"lat:29.5299,lon:-95.0288",1755104428,13,2,8,residential,False
data_00000100,node_000000,0.614,"lat:29.5299,lon:-95.0288",1755108028,14,2,8,residential,False
data_00000101,node_000000,0.619,"lat:29.5299,lon:-95.0288",1755111628,15,2,8,residential,False
data_00000102,node_000000,0.548,"lat:29.5299,lon:-95.0288",1755115228,16,2,8,residential,False
data_00000103,node_000000,0.532,"lat:29.5299,lon:-95.0288",1755118828,17,2,8,residential,False
data_00000104,node_000000,3.784,"lat:29.5299,lon:-95.0288",1755122428,18,2,8,residential,False
data_00000105,node_000000,3.201,"lat:29.5299,lon:-95.0288",1755126028,19,2,8,residential,False
data_00000106,node_000000,3.966,"lat:29.5299,lon:-95.0288",1755129628,20,2,8,residential,False
data_00000107,node_000000,3.326,"lat:29.5299,lon:-95.0288",1755133228,21,2,8,residential,False
data_00000108,node_000000,0.544,"lat:29.5299,lon:-95.0288",1755136828,22,2,8,residential,False
data_00000109,node_000000,0.36,"lat:29.5299,lon:-95.0288",1755140428,23,2,8,residential,False
data_00000110,node_000000,0.572,"lat:29.5299,lon:-95.0288",1755144028,0,3,8,residential,False
data_00000111,node_000000,0.488,"lat:29.5299,lon:-95.0288",1755147628,1,3,8,residential,False
data_00000112,node_000000,0.722,"lat:29.5299,lon:-95.0288",1755151228,2,3,8,residential,False
data_00000113,node_000000,0.647,"lat:29.5299,lon:-95.0288",1755154828,3,3,8,residential,False
